"SNo","Title","URL","Selling Price","MRP","Margin","Margin %"
"1","Amul Butter 100 g","https://www.bestprice.in/bestprice/Dairy%2C-Fresh-%26-Frozen/Dairy/Butter-%26-Margarine/AMUL/p/000000000000010311","45.98","50.0","4.02","8.04"
"2","Great Value Hakka Noodles 800 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Noodles%2C-Pasta-%26-Vermicelli/GREAT-VALUE/p/000000000000004163","79.0","115.0","36.0","31.3"
"3","Parle Monaco Salted Biscuits 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/PARLE-MONACO/p/000000000000010462","27.27","30.0","2.73","9.1"
"4","Parle Krackjack Sweet & Salty Biscuits 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/PARLE-KRACKJACK/p/000000000000010465","27.27","30.0","2.73","9.1"
"5","Parle-G Biscuits 250 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Glucose-%26-Milk/PARLE-G/p/000000000000010458","20.0","22.0","2.0","9.09"
"6","Clinic Plus Strong & Shine Shampoo 16 N (6 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/CLINIC-PLUS/p/000000000000043391","12.76","16.0","3.24","20.25"
"7","Parle Melody Toffee 100 N (Rs. 1 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Toffee%2C-Candy-%26-Eclairs/PARLE-MELODY/p/000000000000010472","86.96","100.0","13.04","13.04"
"8","Amul Butter 500 g","https://www.bestprice.in/bestprice/Dairy%2C-Fresh-%26-Frozen/Dairy/Butter-%26-Margarine/AMUL/p/000000000000010312","225.29","245.0","19.71","8.04"
"9","Sunsilk Jasmine Black Hair Shampoo 16 N (5.5 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/SUNSILK/p/000000000000019457","12.51","16.0","3.49","21.81"
"10","Maggi Noodles 290 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Noodles%2C-Pasta-%26-Vermicelli/MAGGI/p/000000000000010521","85.45","94.0","8.55","9.1"
"11","Sunsilk Shampoo Sachet 16 N (5.5 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/SUNSILK/p/000000000000024642","12.51","16.0","3.49","21.81"
"12","Britannia Good Day Cashew Biscuits 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cookies/BRITANNIA/p/000000000000011530","36.36","40.0","3.64","9.1"
"13","Britannia Little Heart Biscuits 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/BRITANNIA/p/000000000000017357","22.73","25.0","2.27","9.08"
"14","Great Value Pure Puja Camphor 50 g","https://www.bestprice.in/bestprice/Home-care/Pooja-Needs/Other-Pooja-Needs/GREAT-VALUE/p/000000000000004043","84.0","99.0","15.0","15.15"
"15","Gala Super Scrub 1 N","https://www.bestprice.in/bestprice/Home-care/House-%26-Kitchen-Cleaning/Cleaning-Tools/GALA/p/000000000000018011","39.13","45.0","5.87","13.04"
"16","Britannia Fruit Cake 120 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Bakery/Cakes%2C-Muffins-%26-Brownies/BRITANNIA/p/000000000000010243","27.27","30.0","2.73","9.1"
"17","Parle G Gold Biscuit 1 kg","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Glucose-%26-Milk/PARLE-G/p/000000000000040620","113.64","125.0","11.36","9.09"
"18","Dukes Cream 4 Fun Biscuits Bourbon, 150 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/DUKES/p/000000000000011401","19.5","30.0","10.5","35.0"
"19","Maggi Pazzta Cheese, 70 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Noodles%2C-Pasta-%26-Vermicelli/MAGGI/p/000000000000011776","25.69","28.0","2.31","8.25"
"20","Dove Healthy Growing Hair Shampoo 16 N (5.5 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/DOVE/p/000000000000038345","25.27","32.0","6.73","21.03"
"21","Dove Intense Repair Hair Shampoo & Conditioner 16 N (14 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/DOVE/p/000000000000019456","60.67","80.0","19.33","24.16"
"22","Lifebuoy Liquid Hand wash Pump, 190 ml","https://www.bestprice.in/bestprice/Personal-care/Soaps-%26-Body-wash/Hand-Wash/LIFEBUOY/p/000000000000010741","77.27","85.0","7.73","9.09"
"23","Dukes Nice Cookies Combi, 450 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/DUKES/p/000000000000019895","56.0","60.0","4.0","6.67"
"24","Dove Hairfall Rescue Hair Shampoo & Conditioner 16 N (12 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/DOVE/p/000000000000019452","60.67","80.0","19.33","24.16"
"25","Bisleri Soda 750 ml","https://www.bestprice.in/bestprice/Beverages/Soft-Drinks-%26-Soda/Soda/BISLERI/p/000000000000043408","15.56","20.0","4.44","22.2"
"26","Parle Hide & Seek Chocolate Cream Biscuit 100 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/PARLE-HIDE-%26-SEEK/p/000000000000023881","27.27","30.0","2.73","9.1"
"27","Britannia Nice Time Cookies 150 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/BRITANNIA/p/000000000000010206","22.73","25.0","2.27","9.08"
"28","Unibic Choco Kiss Cookie 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/UNIBIC/p/000000000000038543","23.6","40.0","16.4","41.0"
"29","Dukes Nice Biscuits 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/DUKES/p/000000000000042950","7.75","10.0","2.25","22.5"
"30","Parle Happy Cookies Biscuit 60 g + 20 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/PARLE-HAPPY-HAPPY/p/000000000000015024","9.09","10.0","0.91","9.1"
"31","Britannia Good day Chocochip Cookies 44 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/BRITANNIA/p/000000000000019102","9.09","10.0","0.91","9.1"
